localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
109914,172,1,0,0,1730118681,,我通过了你的朋友验证请求，现在我们可以开始聊天了,2024-10-28 20:31:21,🌲,梁庆林,wxid_7gipedh8nrbm22
109915,172,1,0,1,1730120023,,hi～ 我就是前些天加你的[委屈] 想了一下还是加你了 真的很抱歉,2024-10-28 20:53:43,exiled,exiled,wxid_jkhetex8lgjx22
109916,172,1,0,1,1730120058,,我的做法确实不妥 所以来道个歉,2024-10-28 20:54:18,exiled,exiled,wxid_jkhetex8lgjx22
109917,172,1,0,1,1730120097,,如果你觉得不自在的话 我还是可以去其他地方不影响你,2024-10-28 20:54:57,exiled,exiled,wxid_jkhetex8lgjx22
109919,172,1,0,0,1730120122,,我知道你是谁了,2024-10-28 20:55:22,🌲,梁庆林,wxid_7gipedh8nrbm22
109920,172,1,0,0,1730120144,,坐我后面的吧（）,2024-10-28 20:55:44,🌲,梁庆林,wxid_7gipedh8nrbm22
109921,172,1,0,1,1730120294,,是的 但是有时候碰到确实是巧合,2024-10-28 20:58:14,exiled,exiled,wxid_jkhetex8lgjx22
109922,172,1,0,0,1730120415,,xs我肯定不会觉得你跟踪我啊,2024-10-28 21:00:15,🌲,梁庆林,wxid_7gipedh8nrbm22
109923,172,1,0,0,1730120423,,为啥当时不说,2024-10-28 21:00:23,🌲,梁庆林,wxid_7gipedh8nrbm22
109924,172,1,0,1,1730120510,,因为没想好[委屈],2024-10-28 21:01:50,exiled,exiled,wxid_jkhetex8lgjx22
109925,172,1,0,1,1730120517,,sry,2024-10-28 21:01:57,exiled,exiled,wxid_jkhetex8lgjx22
109926,172,1,0,0,1730120536,,没想好为什么要用小号加我,2024-10-28 21:02:16,🌲,梁庆林,wxid_7gipedh8nrbm22
109928,172,1,0,0,1730120550,,没事 都过去了 下次想认识人注意一下吧,2024-10-28 21:02:30,🌲,梁庆林,wxid_7gipedh8nrbm22
109929,172,1,0,1,1730120644,,因为当时不想立马被知道是谁,2024-10-28 21:04:04,exiled,exiled,wxid_jkhetex8lgjx22
109930,172,1,0,1,1730120649,,现在意识到不合适了,2024-10-28 21:04:09,exiled,exiled,wxid_jkhetex8lgjx22
109931,172,1,0,1,1730120662,,谢谢你,2024-10-28 21:04:22,exiled,exiled,wxid_jkhetex8lgjx22
109932,172,1,0,0,1730120685,,没事 以后正常交流就好,2024-10-28 21:04:45,🌲,梁庆林,wxid_7gipedh8nrbm22
109933,172,1,0,0,1730120803,,你为啥想认识我啊 ,2024-10-28 21:06:43,🌲,梁庆林,wxid_7gipedh8nrbm22
109934,172,1,0,0,1730120821,,我在图书馆每天都蓬头垢面的,2024-10-28 21:07:01,🌲,梁庆林,wxid_7gipedh8nrbm22
109935,172,47,0,0,1730120830,,"<msg><emoji fromusername=""wxid_7gipedh8nrbm22"" tousername=""wxid_jkhetex8lgjx22"" type=""2"" idbuffer=""media:0_0"" md5=""488fbe3ee73c35ed87e8a46e7bec7594"" len=""21924"" productid="""" androidmd5=""488fbe3ee73c35ed87e8a46e7bec7594"" androidlen=""21924"" s60v3md5=""488fbe3ee73c35ed87e8a46e7bec7594"" s60v3len=""21924"" s60v5md5=""488fbe3ee73c35ed87e8a46e7bec7594"" s60v5len=""21924"" cdnurl=""http://wxapp.tc.qq.com/262/20304/stodownload?m=488fbe3ee73c35ed87e8a46e7bec7594&amp;filekey=30340201010420301e02020106040253480410488fbe3ee73c35ed87e8a46e7bec7594020255a4040d00000004627466730000000132&amp;hy=SH&amp;storeid=265864c4e0009593c84effb040000010600004f5053481e684bc1e6d623511&amp;bizid=1023"" designerid="""" thumburl="""" encrypturl=""http://wxapp.tc.qq.com/262/20304/stodownload?m=bffe9e05a030d867d4fba2c105564532&amp;filekey=30340201010420301e02020106040253480410bffe9e05a030d867d4fba2c105564532020255b0040d00000004627466730000000132&amp;hy=SH&amp;storeid=265864c4e000ada3684effb040000010600004f50534804260b01e786f438d&amp;bizid=1023"" aeskey=""1a7669fd4ebe80e4213ec2cfc5aebd06"" externurl=""http://wxapp.tc.qq.com/262/20304/stodownload?m=dbebf717cdecb539c6de9099ce14bcb6&amp;filekey=30340201010420301e020201060402535a0410dbebf717cdecb539c6de9099ce14bcb6020227e0040d00000004627466730000000132&amp;hy=SZ&amp;storeid=2658668e70000df2757ffbaf20000010600004f50535a1046bae1e76cba1d8&amp;bizid=1023"" externmd5=""923c053374a1f567696a826c8563951d"" width=""690"" height=""690"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid="""" desc=""""></emoji><gameext type=""0"" content=""0""></gameext></msg>",2024-10-28 21:07:10,🌲,梁庆林,wxid_7gipedh8nrbm22
109936,172,1,0,1,1730121055,,hh没有 只是最近老在那学习 然后经常抬头低头就看到你啦,2024-10-28 21:10:55,exiled,exiled,wxid_jkhetex8lgjx22
109937,172,1,0,1,1730121122,,这几天压力有些大 所以处理方式不妥[委屈],2024-10-28 21:12:02,exiled,exiled,wxid_jkhetex8lgjx22
109938,172,1,0,1,1730121136,,哦对,2024-10-28 21:12:16,exiled,exiled,wxid_jkhetex8lgjx22
109939,172,1,0,1,1730121144,,我是经院的,2024-10-28 21:12:24,exiled,exiled,wxid_jkhetex8lgjx22
109940,172,1,0,1,1730121158,,不过是研一,2024-10-28 21:12:38,exiled,exiled,wxid_jkhetex8lgjx22
109941,172,49,57,0,1730121221,,,2024-10-28 21:13:41,🌲,梁庆林,wxid_7gipedh8nrbm22
109942,172,1,0,0,1730121235,,你们下学期学高级计量是不是,2024-10-28 21:13:55,🌲,梁庆林,wxid_7gipedh8nrbm22
109943,172,1,0,0,1730121267,,你知道你们院哪些专业这学期学张晔老师的计量啊,2024-10-28 21:14:27,🌲,梁庆林,wxid_7gipedh8nrbm22
109944,172,47,0,0,1730121287,,"<msg><emoji fromusername=""wxid_7gipedh8nrbm22"" tousername=""wxid_jkhetex8lgjx22"" type=""2"" idbuffer=""media:0_0"" md5=""81505d2059a6e26fa12be900cefe3b7b"" len=""524059"" productid="""" androidmd5=""81505d2059a6e26fa12be900cefe3b7b"" androidlen=""524059"" s60v3md5=""81505d2059a6e26fa12be900cefe3b7b"" s60v3len=""524059"" s60v5md5=""81505d2059a6e26fa12be900cefe3b7b"" s60v5len=""524059"" cdnurl=""http://vweixinf.tc.qq.com/110/20401/stodownload?m=81505d2059a6e26fa12be900cefe3b7b&amp;filekey=30440201010430302e02016e0402534804203831353035643230353961366532366661313262653930306365666533623762020307ff1b040d00000004627466730000000132&amp;hy=SH&amp;storeid=265995c1c00097a1b4c9610400000006e01004fb1534817bdf171567264a2c&amp;ef=1&amp;bizid=1022"" designerid="""" thumburl="""" encrypturl=""http://vweixinf.tc.qq.com/110/20402/stodownload?m=b158304c7824feda81f77180c75fa62c&amp;filekey=30440201010430302e02016e0402534804206231353833303463373832346665646138316637373138306337356661363263020307ff20040d00000004627466730000000132&amp;hy=SH&amp;storeid=265995c1c000a88624c9610400000006e02004fb2534817bdf171567264a35&amp;ef=2&amp;bizid=1022"" aeskey=""e73172d3cdbc4ae09027df3a7042b163"" externurl=""http://vweixinf.tc.qq.com/110/20403/stodownload?m=1b2e355365c6889f99de4ed8637bcbf5&amp;filekey=30440201010430302e02016e04025348042031623265333535333635633638383966393964653465643836333762636266350203024b90040d00000004627466730000000132&amp;hy=SH&amp;storeid=265995c1c000ba48a4c9610400000006e03004fb3534817bdf171567264a40&amp;ef=3&amp;bizid=1022"" externmd5=""9e66e3da8f502e04dada91c145464d44"" width=""300"" height=""300"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid="""" desc=""""></emoji><gameext type=""0"" content=""0""></gameext></msg>",2024-10-28 21:14:47,🌲,梁庆林,wxid_7gipedh8nrbm22
109945,172,49,57,1,1730121291,,,2024-10-28 21:14:51,exiled,exiled,wxid_jkhetex8lgjx22
109946,172,49,57,1,1730121294,,,2024-10-28 21:14:54,exiled,exiled,wxid_jkhetex8lgjx22
109947,172,49,57,1,1730121306,,,2024-10-28 21:15:06,exiled,exiled,wxid_jkhetex8lgjx22
109948,172,49,57,0,1730121309,,,2024-10-28 21:15:09,🌲,梁庆林,wxid_7gipedh8nrbm22
109949,172,49,57,0,1730121328,,,2024-10-28 21:15:28,🌲,梁庆林,wxid_7gipedh8nrbm22
109950,172,1,0,1,1730121330,,我打算明天去听的 因为我室友修了 比较推荐 适合我这种基础差的,2024-10-28 21:15:30,exiled,exiled,wxid_jkhetex8lgjx22
109951,172,49,57,1,1730121361,,,2024-10-28 21:16:01,exiled,exiled,wxid_jkhetex8lgjx22
109952,172,49,57,0,1730121361,,,2024-10-28 21:16:01,🌲,梁庆林,wxid_7gipedh8nrbm22
109953,172,1,0,1,1730121365,,有点纠结,2024-10-28 21:16:05,exiled,exiled,wxid_jkhetex8lgjx22
109954,172,1,0,1,1730121371,,你也选了是不,2024-10-28 21:16:11,exiled,exiled,wxid_jkhetex8lgjx22
109955,172,1,0,0,1730121378,,张晔老师 挺好的,2024-10-28 21:16:18,🌲,梁庆林,wxid_7gipedh8nrbm22
109956,172,49,57,0,1730121392,,,2024-10-28 21:16:32,🌲,梁庆林,wxid_7gipedh8nrbm22
109957,172,1,0,1,1730121402,,为啥上这个呀,2024-10-28 21:16:42,exiled,exiled,wxid_jkhetex8lgjx22
109958,172,1,0,0,1730121407,,差学分,2024-10-28 21:16:47,🌲,梁庆林,wxid_7gipedh8nrbm22
109959,172,1,0,1,1730121411,,你们也要上三高嘛,2024-10-28 21:16:51,exiled,exiled,wxid_jkhetex8lgjx22
109960,172,1,0,0,1730121417,,这倒是不用,2024-10-28 21:16:57,🌲,梁庆林,wxid_7gipedh8nrbm22
109961,172,1,0,1,1730121429,,我的意思为啥不选其他稍微水点的,2024-10-28 21:17:09,exiled,exiled,wxid_jkhetex8lgjx22
109962,172,1,0,1,1730121433,,这课要考试吧,2024-10-28 21:17:13,exiled,exiled,wxid_jkhetex8lgjx22
109963,172,1,0,0,1730121454,,张老师上学期给我们上了管理研究方法（好像是这个课程名,2024-10-28 21:17:34,🌲,梁庆林,wxid_7gipedh8nrbm22
109964,172,1,0,0,1730121460,,我感觉她人挺好玩的,2024-10-28 21:17:40,🌲,梁庆林,wxid_7gipedh8nrbm22
109965,172,1,0,0,1730121473,,（我不喜欢上水课,2024-10-28 21:17:53,🌲,梁庆林,wxid_7gipedh8nrbm22
109966,172,1,0,0,1730121476,,上水课很累,2024-10-28 21:17:56,🌲,梁庆林,wxid_7gipedh8nrbm22
109967,172,47,0,0,1730121478,,"<msg><emoji fromusername=""wxid_7gipedh8nrbm22"" tousername=""wxid_jkhetex8lgjx22"" type=""2"" idbuffer=""media:0_0"" md5=""446dd4b90df7565bd5a993c35597c871"" len=""894795"" productid="""" androidmd5=""446dd4b90df7565bd5a993c35597c871"" androidlen=""894795"" s60v3md5=""446dd4b90df7565bd5a993c35597c871"" s60v3len=""894795"" s60v5md5=""446dd4b90df7565bd5a993c35597c871"" s60v5len=""894795"" cdnurl=""http://vweixinf.tc.qq.com/110/20401/stodownload?m=446dd4b90df7565bd5a993c35597c871&amp;filekey=30440201010430302e02016e0402535a0420343436646434623930646637353635626435613939336333353539376338373102030da74b040d00000004627466730000000132&amp;hy=SZ&amp;storeid=26392b4fd0006f2b9011595340000006e01004fb1535a1039c910b0221be3d&amp;ef=1&amp;bizid=1022"" designerid="""" thumburl="""" encrypturl=""http://vweixinf.tc.qq.com/110/20402/stodownload?m=f8ba10b6aa9b514b7d53c8db5021f652&amp;filekey=30440201010430302e02016e0402535a0420663862613130623661613962353134623764353363386462353032316636353202030da750040d00000004627466730000000132&amp;hy=SZ&amp;storeid=26392b4fd00088b34011595340000006e02004fb2535a1039c910b0221be7a&amp;ef=2&amp;bizid=1022"" aeskey=""25f9d7b335a147d9b83a37b474c7dc63"" externurl=""http://vweixinf.tc.qq.com/110/20403/stodownload?m=f4a6be226e6dcdd64f9a2aa6856799d8&amp;filekey=30440201010430302e02016e0402535a042066346136626532323665366463646436346639613261613638353637393964380203014e10040d00000004627466730000000132&amp;hy=SZ&amp;storeid=26392b4fd000a0946011595340000006e03004fb3535a1039c910b0221bea6&amp;ef=3&amp;bizid=1022"" externmd5=""d79a620481c23204894f46e741a921f6"" width=""250"" height=""200"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid="""" desc=""""></emoji><gameext type=""0"" content=""0""></gameext></msg>",2024-10-28 21:17:58,🌲,梁庆林,wxid_7gipedh8nrbm22
109968,172,49,57,0,1730121510,,,2024-10-28 21:18:30,🌲,梁庆林,wxid_7gipedh8nrbm22
109969,172,47,0,0,1730121520,,"<msg><emoji fromusername=""wxid_7gipedh8nrbm22"" tousername=""wxid_jkhetex8lgjx22"" type=""2"" idbuffer=""media:0_0"" md5=""7cbb9dd6c9853e3bdb2db80a90b74f9a"" len=""74788"" productid="""" androidmd5=""7cbb9dd6c9853e3bdb2db80a90b74f9a"" androidlen=""74788"" s60v3md5=""7cbb9dd6c9853e3bdb2db80a90b74f9a"" s60v3len=""74788"" s60v5md5=""7cbb9dd6c9853e3bdb2db80a90b74f9a"" s60v5len=""74788"" cdnurl=""http://wxapp.tc.qq.com/262/20304/stodownload?m=7cbb9dd6c9853e3bdb2db80a90b74f9a&amp;filekey=30350201010421301f020201060402534804107cbb9dd6c9853e3bdb2db80a90b74f9a0203012424040d00000004627466730000000132&amp;hy=SH&amp;storeid=2631658bd0005144d000000000000010600004f50534808465b40b772b57c6&amp;bizid=1023"" designerid="""" thumburl="""" encrypturl=""http://wxapp.tc.qq.com/262/20304/stodownload?m=57609438b963255ac5710f8d32e7ee2c&amp;filekey=30350201010421301f0202010604025348041057609438b963255ac5710f8d32e7ee2c0203012430040d00000004627466730000000132&amp;hy=SH&amp;storeid=2631658bd00081189000000000000010600004f50534818467b40b771f6252&amp;bizid=1023"" aeskey=""aeb940d0bd769872df5108859231856b"" externurl=""http://wxapp.tc.qq.com/262/20304/stodownload?m=7be7c94743d45ae38108cbe87420a459&amp;filekey=30340201010420301e020201060402534804107be7c94743d45ae38108cbe87420a459020221a0040d00000004627466730000000132&amp;hy=SH&amp;storeid=2631658bd000a917a000000000000010600004f5053482d36fb40b77275cf3&amp;bizid=1023"" externmd5=""7ab8b78a831e03b58dcd76d4b7a6d844"" width=""240"" height=""229"" tpurl="""" tpauthkey="""" attachedtext="""" attachedtextcolor="""" lensid="""" emojiattr="""" linkid="""" desc=""""></emoji><gameext type=""0"" content=""0""></gameext></msg>",2024-10-28 21:18:40,🌲,梁庆林,wxid_7gipedh8nrbm22
109970,172,1,0,1,1730121525,,你本科是学啥的哇,2024-10-28 21:18:45,exiled,exiled,wxid_jkhetex8lgjx22
109971,172,1,0,0,1730121541,,会计,2024-10-28 21:19:01,🌲,梁庆林,wxid_7gipedh8nrbm22
109972,172,1,0,0,1730121553,,研究生也是学会计,2024-10-28 21:19:13,🌲,梁庆林,wxid_7gipedh8nrbm22
109973,172,1,0,1,1730121562,,喔喔,2024-10-28 21:19:22,exiled,exiled,wxid_jkhetex8lgjx22
109974,172,49,57,0,1730121563,,,2024-10-28 21:19:23,🌲,梁庆林,wxid_7gipedh8nrbm22
109975,172,1,0,1,1730121705,,首先读博就是个重大决策 投入高 回报低 其次如果想做学术的话还是得出去读 就要考虑国内国外的问题,2024-10-28 21:21:45,exiled,exiled,wxid_jkhetex8lgjx22
109976,172,1,0,0,1730121720,,的确是,2024-10-28 21:22:00,🌲,梁庆林,wxid_7gipedh8nrbm22
109977,172,1,0,0,1730121756,,我觉得如果你现在就下定决心读博的话 出去读好一点,2024-10-28 21:22:36,🌲,梁庆林,wxid_7gipedh8nrbm22
109978,172,1,0,1,1730121775,,周围人都这么说,2024-10-28 21:22:55,exiled,exiled,wxid_jkhetex8lgjx22
109979,172,1,0,1,1730121790,,明天我打算去和导师好好聊聊,2024-10-28 21:23:10,exiled,exiled,wxid_jkhetex8lgjx22
109980,172,1,0,0,1730121805,,可以,2024-10-28 21:23:25,🌲,梁庆林,wxid_7gipedh8nrbm22
109981,172,1,0,1,1730121870,,你呢,2024-10-28 21:24:30,exiled,exiled,wxid_jkhetex8lgjx22
109982,172,1,0,1,1730121875,,你是啥规划呀,2024-10-28 21:24:35,exiled,exiled,wxid_jkhetex8lgjx22
109983,172,1,0,1,1730121884,,为啥天天泡图书馆,2024-10-28 21:24:44,exiled,exiled,wxid_jkhetex8lgjx22
109984,172,1,0,0,1730122031,,不知道 ,2024-10-28 21:27:11,🌲,梁庆林,wxid_7gipedh8nrbm22
109985,172,1,0,0,1730122036,,我其实不太确定,2024-10-28 21:27:16,🌲,梁庆林,wxid_7gipedh8nrbm22
109986,172,1,0,0,1730122053,,但是我得先把手头的这个论文弄完 ,2024-10-28 21:27:33,🌲,梁庆林,wxid_7gipedh8nrbm22
